id_fakta,id_waktu,id_pelanggan,id_produk,id_lokasi,id_channel,id_status,nomor_transaksi,jumlah_pembelian,total_harga,jumlah_data_mb,durasi_telpon_menit,jumlah_sms
4,671,243,34,14,3,1,TRX006710000004,1,200000.0,44081.52,527,223
5,858,793,34,68,1,1,TRX008580000005,3,600000.0,12863.57,126,372
6,603,525,36,37,6,1,TRX006030000006,3,450000.0,37873.83,139,147
9,79,18,32,8,2,1,TRX000790000009,3,285000.0,14917.96,582,213
15,95,798,40,88,2,1,TRX000950000015,1,10000.0,27047.78,904,259
18,1065,102,49,97,3,2,TRX010650000018,1,120000.0,45217.3,823,4
20,1062,96,44,89,5,2,TRX010620000020,1,175000.0,14330.87,318,228
22,769,275,50,76,3,1,TRX007690000022,1,200000.0,26837.35,124,275
25,762,846,30,65,3,3,TRX007620000025,1,35000.0,18382.65,752,202
29,420,191,32,86,6,1,TRX004200000029,2,190000.0,10875.43,0,380
30,548,358,30,84,2,4,TRX005480000030,2,70000.0,0.0,867,9
32,823,563,38,59,2,1,TRX008230000032,2,100000.0,23823.49,457,427
42,190,460,42,70,3,1,TRX001900000042,1,75000.0,31184.84,363,252
47,138,670,30,7,1,1,TRX001380000047,5,175000.0,21102.29,24,432
49,652,985,39,47,3,4,TRX006520000049,1,20000.0,41946.17,362,461
50,1087,802,43,79,1,1,TRX010870000050,1,120000.0,5876.85,272,369
54,272,528,48,93,4,1,TRX002720000054,1,250000.0,17314.2,175,306
55,404,298,48,48,1,2,TRX004040000055,112,250000.0,41095.02,226,330
58,765,462,42,46,3,1,TRX007650000058,3,225000.0,10622.6,548,423
60,219,872,34,10,5,3,TRX002190000060,3,600000.0,31497.35,656,491
63,583,5,32,11,4,1,TRX005830000063,1,95000.0,20022.88,940,319
70,630,447,40,65,5,3,TRX006300000070,1,10000.0,15581.29,555,95
71,560,711,41,74,1,1,TRX005600000071,1,15000.0,6274.16,913,97
77,480,595,36,41,1,1,TRX004800000077,1,150000.0,28457.91,523,464
