id_fakta,id_waktu,id_pelanggan,id_produk,id_lokasi,id_channel,id_status,nomor_transaksi,jumlah_pembelian,total_harga,jumlah_data_mb,durasi_telpon_menit,jumlah_sms
1,949,214,11,4,1,1,TRX009490000001,"3,-",450000,36914.81,,
2,80,777,45,50,5,1,TRX000800000002,2,2000,54344.07,,
3,590,726,29,28,5,1,TRX005900000003,1,25000,,,624
4,671,243,34,14,3,1,TRX006710000004,1,200000,44081.52,527,223
5,858,793,34,68,1,1,TRX008580000005,3,600000,12863.57,126,372??
6,603,525,36,37,6,1,TRX006030000006,3,450000,37873.83,139,147
7,431,378,22,66,5,1,TRX004310000007,3,150000,,2925,
8,1010,279,24,74,1,1,TRX010100000008,1,70000,,526,
9,79,18,32,8,2,1,TRX000790000009,3,285000,14917.96,582,213
10,1001,121,10,43,3,4,TRX010010000010,1,85000,95281.01,,
11,314,503,10,87,4,1,TRX003140000011,1,85000,96481.71,,
12,102,58,22,37,3,1,TRX001020000012,1,50000,,1456,
13,440,209,24,85,4,1,TRX004400000013,1,70000,,2519,
14,105,301,13,11,4,1,TRX001050000014,1,500000,48557.2,,
15,95,798,40,88,2,1,TRX000950000015,1,10000,27047.78,904,259
16,757,862,14,23,1,1,TRX007570000016,1,5000,62774.65,,
17,379,932,1,86,2,3,TRX003790000017,1,2000,17788.1,,
18,1065,102,49,97,3,2,TRX010650000018,1,120000,45217.3,823,4
19,846,315,18,4,2,2,TRX008460000019,1,3000,,2812,
20,1062,96,44,89,5,2,TRX010620000020,1,175000,14330.87,318,228
21,670,339,28,52,2,5,TRX006700000021,1,10000,,,20
22,769,275,50,76,3,1,TRX007690000022,1,200000,26837.35,124,275
23,1005,141,12,7,2,2,TRX010050000023,1,300000,57365.21,,
24,1067,987,21,64,5,1,TRX010670000024,1,25000,,1360,
25,762,846,30,65,3,3,TRX007620000025,1,35000,18382.65,752,202
26,75,377,27,14,2,1,TRX000750000026,1,5000,,,828
27,205,887,24,18,1,1,TRX002050000027,1,70000,,389,
28,483,230,21,71,3,1,TRX004830000028,1,25000,,778,
29,420,191,32,86,6,1,TRX004200000029,2,190000,10875.43,,380
30,548,358,30,84,2,4,TRX005480000030,2,70000,,867,9
31,397,46,20,1,4,2,TRX003970000031,2,30000,,1510,
32,823,563,38,59,2,1,TRX008230000032,2,100000,23823.49,457,427
33,89,180,15,26,3,1,TRX000890000033,3,75000,,,
34,285,916,4,87,2,1,TRX002850000034??,1,9000,6364.76,,
35,999,43,28,75,1,1,TRX009990000035,1,10000,,,82
36,370,996,16,47,2,4,TRX003700000036,2,60000,,,
37,168,892,27,43,4,1,TRX001680000037,3,15000,,,202
38,1083,803,22,81,3,1,TRX010830000038,1,50000,,151,
39,648,101,4,78,2,1,TRX006480000039,173,9000,74218.29,,
40,954,718,4,1,6,3,TRX009540000040,3,27000,79074.67??,,
41,553,452,4,15,1,1,TRX005530000041,2,18000,17793.94,,
42,190,460,42,70,3,1,TRX001900000042,1,75000,31184.84,363,252
43,172,794,25,78,5,1,TRX001720000043,1,1000,,,509
44,615,45,25,45,2,1,TRX006150000044,2 (error),2000,,,352
45,14,591,17,51,1,1,TRX000140000045,1,60000,33150.59,,
46,264,955,41,85,3,1,TRX002640000046,67,15000,,,59520
47,138,670,30,7,1,1,TRX001380000047,5,175000,21102.29,24,432
48,275,715,25,65,1,1,TRX002750000048,1,1000,,,673
49,652,985,39,47,3,4,TRX006520000049,1,20000,41946.17,362,461
50,1087,802,43,79,1,1,TRX010870000050,1,120000,5876.85,272,369
51,578,512,29,78,2,1,TRX005780000051,3,75000,,,647
