,id_fakta,id_waktu,id_pelanggan,id_produk,id_lokasi,id_channel,id_status,nomor_transaksi,jumlah_pembelian,total_harga,jumlah_data_mb,durasi_telpon_menit,jumlah_sms
0,4,671,243,34,14,3,1,TRX006710000004,1,200000.0,44081.52,527,223
1,5,858,793,34,68,1,1,TRX008580000005,3,600000.0,12863.57,126,372??
2,6,603,525,36,37,6,1,TRX006030000006,3,450000.0,37873.83,139,147
3,9,79,18,32,8,2,1,TRX000790000009,3,285000.0,14917.96,582,213
4,15,95,798,40,88,2,1,TRX000950000015,1,10000.0,27047.78,904,259
5,18,1065,102,49,97,3,2,TRX010650000018,1,120000.0,45217.3,823,4
6,20,1062,96,44,89,5,2,TRX010620000020,1,175000.0,14330.87,318,228
7,22,769,275,50,76,3,1,TRX007690000022,1,200000.0,26837.35,124,275
8,25,762,846,30,65,3,3,TRX007620000025,1,35000.0,18382.65,752,202
9,29,420,191,32,86,6,1,TRX004200000029,2,190000.0,10875.43,,380
10,30,548,358,30,84,2,4,TRX005480000030,2,70000.0,,867,9
11,32,823,563,38,59,2,1,TRX008230000032,2,100000.0,23823.49,457,427
12,42,190,460,42,70,3,1,TRX001900000042,1,75000.0,31184.84,363,252
13,47,138,670,30,7,1,1,TRX001380000047,5,175000.0,21102.29,24,432
14,49,652,985,39,47,3,4,TRX006520000049,1,20000.0,41946.17,362,461
15,50,1087,802,43,79,1,1,TRX010870000050,1,120000.0,5876.85,272,369
16,54,272,528,48,93,4,1,TRX002720000054,1,250000.0,17314.2,175,306
17,55,404,298,48,48,1,2,TRX004040000055,112,250000.0,41095.02,226,330
18,58,765,462,42,46,3,1,TRX007650000058,3,225000.0,10622.6,548,423
19,60,219,872,34,10,5,3,TRX002190000060,3,600000.0,31497.35,656,491
20,63,583,5,32,11,4,1,TRX005830000063,1,95000.0,20022.88,940,319
21,70,630,447,40,65,5,3,TRX006300000070,1,10000.0,15581.29,555,95
22,71,560,711,41,74,1,1,TRX005600000071,1,15000.0,6274.16,913,97
23,77,480,595,36,41,1,1,TRX004800000077,1,150000.0,28457.91,523??,464
24,78,562,185,42,30,3,2,TRX005620000078,2,150000.0,26923.71,592,420
25,79,709,8,31,84,1,2,TRX007090000079,1,109211.93,47085.5,579,295
26,84,444,649,35,15,1,3,TRX004440000084,1,350000.0,40679.8,637,291
27,86,34,548,33,52,1,1,TRX000340000086,1,135000.0,39382.0,595,344
28,89,638,681,32,33,2,1,TRX006380000089,1,95000.0,2711.24,,10
29,95,220,357,32,41,5,1,TRX002200000095,1,95000.0,5887.11,652,338
30,98,847,467,30,90,5,3,TRX008470000098,1,35000.0,47506.3,732 (error),69??
31,99,636,507,49,9,1,1,TRX006360000099,1,120000.0,22996.85,550,456
32,102,1086,580,40,62,2,4,TRX010860000102,2,20000.0,38769.41,58,491
33,103,330,291,30,3,2,3,TRX003300000103,1,35000.0,34984.26,523,500
34,104,950,377,39,11,4,1,TRX009500000104,1,20000.0,46310.05,202,79
35,105,646,94,42,86,1,1,TRX006460000105,"1,-",75000.0,13581.11,116,471
36,110,352,521,34,4,3,1,TRX003520000110,3,600000.0,2821.91,681,299
37,112,18,396,37,69,5,1,TRX000180000112,1,300000.0,6893.92,468,186
38,113,778,22,38,13,1,1,TRX007780000113,1,50000.0,1746.62,369,500
39,114,290,863,41,96,2,2,TRX002900000114,1,15000.0,20642.18,684,406
40,115,609,253,44,82,6,3,TRX006090000115,4,700000.0,14067.88,570,79
41,122,528,199,41,81,2,3,TRX005280000122,1,15000.0,34294.69,157755,175
42,123,135,570,30,29,1,5,TRX001350000123,2,70000.0,3134.58,861,230
43,127,913,809,40,4,2,1,TRX009130000127,1,10000.0,28430.87,813,1
44,128,97,455,33,81,5,1,TRX000970000128,1,135000.0,36027.45,348,173
45,130,463,667,36,35,3,1,TRX004630000130,1,150000.0,46469.03,498,133
46,132,915,278,40,10,1,1,TRX009150000132,1,10000.0,22650.2,439,46
47,134,600,41,31,81,6,1,TRX006000000134,1,65000.0,26310.21,403,91
48,136,715,807,38,15,3,1,TRX007150000136,1,50000.0,17767.17,,276
49,139,569,751,38,11,4,1,TRX005690000139,3,150000.0,20154.58,676,422
50,142,449,591,38,68,1,1,TRX004490000142,1,50000.0,1236.76,125,496
51,143,146,373,43,35,1,2,TRX001460000143,1,120000.0,870.18,561,118
52,150,928,981,37,70,2,5,TRX009280000150,1,300000.0,5022.84,357,489
53,153,240,497,38,59,2,1,TRX002400000153,1,50000.0,31239.21,92,2
